ISIN,Name,Currency,StartDate,EndDate,EODHD
GB00B2QPKJ12,FRESNILLO,GBP,9/30/2020,3/31/2021,FRES.LSE
GB0008847096,TESCO,GBP,9/30/2020,3/31/2021,TSCO.LSE
NL0011333752,ALTICE EUROPE NV A,EUR,9/30/2020,3/31/2021,ATC.AS
GB00B0HZPV38,KAZ MINERALS PLC,GBP,3/31/2021,6/30/2021,KAZ.LSE
SE0000310336,SWEDISH MATCH,SEK,9/30/2020,6/30/2021,SWMA.ST
CH0531751755,BANQUE CANTONALE VAUDOISE,CHF,9/30/2020,6/30/2021,BCVN.SW
GB0007739609,TRAVIS PERKINS,GBP,9/30/2020,6/30/2021,TPK.LSE
SE0011166933,EPIROC A,SEK,9/30/2020,6/30/2021,EPI-A.ST
SE0006370730,LIFCO B,SEK,9/30/2020,6/30/2021,LIFCO-B.ST
GB00B01FLG62,GRP 4 SECURICOR,GBP,9/30/2020,6/30/2021,GFS.LSE
GB00BKDTK925,TRAINLINE PLC,GBP,9/30/2020,6/30/2021,TRN.LSE
SE0007439112,SINCH,SEK,9/30/2020,6/30/2021,SINCH.ST
DK0010268606,VESTAS WIND SYSTEMS,DKK,9/30/2020,6/30/2021,VWS.CO
FR0000120222,CNP ASSURANCES,EUR,9/30/2020,6/30/2021,CNP.PA
FR0004035913,ILIAD,EUR,9/30/2020,6/30/2021,ILD.PA
SE0012455673,BOLIDEN,SEK,9/30/2020,6/30/2021,BOL.ST
SE0008321293,NIBE INDUSTRIER B,SEK,9/30/2020,6/30/2021,NIBE-B.ST
GB00B04V1276,GRAINGER,GBP,9/30/2020,6/30/2021,GRI.LSE
ES0184262212,VISCOFAN,EUR,9/30/2020,6/30/2021,VIS.MC
SE0011116508,BEIJER REF AB,SEK,9/30/2020,6/30/2021,BEIJ-B.ST
GB0031698896,WILLIAM HILL,GBP,12/31/2020,6/30/2021,WMH.LSE
GB00BKKMKR23,RSA INSURANCE GRP,GBP,9/30/2020,6/30/2021,RSA.LSE
GB00BKDM7X41,Signature Aviation,GBP,3/31/2021,6/30/2021,BBA.LSE
NL0000360618,SBM OFFSHORE,EUR,9/30/2020,6/30/2021,SBMO.AS
NL0012044747,SHOP APOTHEKE EUROPE,EUR,3/31/2021,6/30/2021,RDC.XETRA
SE0000103699,HEXAGON B,SEK,9/30/2020,6/30/2021,HEXA-B.ST
GB00BYQ0JC66,BEAZLEY,GBP,9/30/2020,6/30/2021,BEZ.LSE
SE0000107419,INVESTOR B,SEK,9/30/2020,6/30/2021,INVE-B.ST
CH0001503199,BELIMO HOLDING,CHF,9/30/2020,6/30/2021,BEAN.SW
SE0014684528,KINNEVIK B,SEK,9/30/2020,6/30/2021,KINV-B.ST
CH0496451508,SOFTWAREONE HOLDING,CHF,9/30/2020,6/30/2021,SWON.SW
DE000A0HN5C6,DEUTSCHE WOHNEN,EUR,9/30/2020,10/29/2021,DWNI.XETRA
DE0005790430,FUCHS PETROLUB PREF,EUR,9/30/2020,10/29/2021,FPE.XETRA
FR0000120685,NATIXIS,EUR,9/30/2020,10/29/2021,KN.PA
NO0010031479,DNB,NOK,9/30/2020,10/29/2021,DNB.OL
GB00BZ1G4322,MELROSE INDUSTRIES,GBP,9/30/2020,10/29/2021,MRO.LSE
GB0059822006,DIALOG SEMICON,EUR,9/30/2020,10/29/2021,DLG.XETRA
CH0363463438,IDORSIA LIMITED,CHF,9/30/2020,10/29/2021,IDIA.SW
DE0006632003,MORPHOSYS,EUR,9/30/2020,10/29/2021,MOR.XETRA
CH0002178181,STADLER RAIL AG,CHF,9/30/2020,10/29/2021,SRAIL.SW
FR0000130650,DASSAULT SYSTEMS,EUR,9/30/2020,10/29/2021,DSY.PA
GB0006043169,MORRISON (WILLIAM) SUPERMARK,GBP,9/30/2020,10/29/2021,MRW.LSE
NO0010081235,NEL,NOK,9/30/2020,10/29/2021,NEL.OL
NO0010715139,SCATEC,NOK,12/31/2020,10/29/2021,SCATC.OL
SE0000103814,ELECTROLUX B,SEK,9/30/2020,10/29/2021,ELUX-B.ST
FR0000121725,DASSAULT AVIATION,EUR,9/30/2020,10/29/2021,DUAVF.US
GB00B7KR2P84,EASYJET,GBP,6/30/2021,10/29/2021,EZJ.LSE
GB00B18V8630,PENNON GRP,GBP,9/30/2020,10/29/2021,PNN.LSE
IE0033024807,UDG HEALTHCARE PUBLIC,GBP,9/30/2020,10/29/2021,UDG.LSE
GB00B02L3W35,BERKELEY GRP HLDG,GBP,9/30/2020,10/29/2021,BKG.LSE
CH0225173167,CEMBRA MONEY BANK,CHF,9/30/2020,10/29/2021,CMBN.SW
GB00BMTV7393,THG,GBP,12/31/2020,12/31/2021,THG.LSE
SE0000652216,ICA GRUPPEN,SEK,9/30/2020,12/31/2021,ICA.ST
GB00BYX91H57,JD SPORTS FASHION,GBP,9/30/2020,12/31/2021,JD.LSE
NO0010716418,ENTRA,NOK,9/30/2020,12/31/2021,ENTRA.OL
GB0031215220,CARNIVAL,GBP,9/30/2020,12/31/2021,POH1.F
DE0005111702,ZOOPLUS,EUR,10/29/2021,12/31/2021,ZO1.XETRA
LU0775917882,GRAND CITY PROPERTIES,EUR,9/30/2020,12/31/2021,GYC.XETRA
NL0010583399,CORBION,EUR,9/30/2020,12/31/2021,CRBN.AS
GB00B2PDGW16,NEW WH SMITH,GBP,3/31/2021,12/31/2021,SMWH.LSE
GB00B132NW22,ASHMORE GRP,GBP,9/30/2020,12/31/2021,ASHM.LSE
FR0014004L86,DASSAULT AVIATION,EUR,10/29/2021,12/31/2021,AM.PA
GB00BVGBWW93,ASSURA,GBP,9/30/2020,12/31/2021,AGR.LSE
GB00BNYK8G86,DARKTRACE,GBP,10/29/2021,12/31/2021,DARK.LSE
DE000A2YN900,TEAMVIEWER AG,EUR,9/30/2020,12/31/2021,TMV.XETRA
BE0003818359,GALAPAGOS,EUR,9/30/2020,12/31/2021,GLPG.AS
GB00BDSFG982,TECHNIPFMC,EUR,9/30/2020,3/31/2022,FTI.US
GB00BNC5T391,DELIVEROO A,GBP,6/30/2021,3/31/2022,ROO.LSE
JE00B6T5S470,POLYMETAL INTERNATIONAL,GBP,9/30/2020,3/31/2022,POLY.LSE
GB00BYPHNG03,COUNTRYSIDE PROPERTIES PLC,GBP,12/31/2020,3/31/2022,CSP.LSE
LU2290522684,INPOST,EUR,3/31/2021,3/31/2022,INPST.AS
DE000A0LD6E6,GERRESHEIMER,EUR,9/30/2020,3/31/2022,GXI.XETRA
NL0009432491,VOPAK,EUR,9/30/2020,3/31/2022,VPK.AS
DE000A2LQ884,AUTO1 GROUP,EUR,6/30/2021,3/31/2022,AG1.XETRA
GB00BH0P3Z91,BHP GROUP PLC.,GBP,9/30/2020,3/31/2022,BHP.LSE
GB00B03MLX29,ROYAL DUTCH SHELL A,EUR,9/30/2020,3/31/2022,RYDAF.US
DE000A0LD2U1,ALSTRIA OFFICE REIT,EUR,9/30/2020,3/31/2022,AOX.STU
CH0042615283,ZUR ROSE GROUP,CHF,12/31/2020,3/31/2022,DOCM.SW
GB00B71N6K86,EVRAZ,GBP,9/30/2020,3/31/2022,EVR.LSE
DK0060027142,ALK-ABELLO B,DKK,12/31/2021,3/31/2022,AKBLF.US
FR0010613471,SUEZ ENVIRONNEMENT,EUR,9/30/2020,3/31/2022,SEV.PA
SE0005999836,AFRY,SEK,9/30/2020,3/31/2022,AFRY.ST
CH0364749348,VIFOR PHARMA,CHF,9/30/2020,6/30/2022,VIFN.SW
GB00BDCXV269,QUILTER,GBP,9/30/2020,6/30/2022,QLT.LSE
FI0009005318,NOKIAN RENKAAT,EUR,9/30/2020,6/30/2022,TYRES.HE
GB0008754136,TATE & LYLE,GBP,9/30/2020,6/30/2022,TATYF.US
SE0000455057,FASTIGHETS BALDER B,SEK,9/30/2020,6/30/2022,BALD-B.ST
SE0009216278,MIPS,SEK,12/31/2021,6/30/2022,MIPS.ST
FR0000121261,MICHELIN,EUR,9/30/2020,6/30/2022,0OFM.LSE
PLOPTTC00011,CD PROJECT SA,PLN,9/30/2020,6/30/2022,CDR.WAR
GB00BL6NGV24,DR MARTENS,GBP,6/30/2021,6/30/2022,DOCS.LSE
FR0000120222,CNP ASSURANCES,EUR,12/31/2021,6/30/2022,CNP.PA
FI4000198031,QT GROUP,EUR,10/29/2021,6/30/2022,QTCOM.HE
SE0011205194,WIHLBORGS FASTIGHETER,SEK,9/30/2020,6/30/2022,WIHL.ST
GB00BFZZM640,S4 CAP. ORD SHS,GBP,6/30/2021,6/30/2022,SFOR.LSE
BE0974256852,ETS COLRUYT,EUR,9/30/2020,6/30/2022,COLR.BR
NO0005668905,TOMRA SYSTEMS,NOK,9/30/2020,6/30/2022,TOM.F
SE0015811559,BOLIDEN,SEK,6/30/2021,6/30/2022,BOL.ST
FR0000184798,ORPEA,EUR,9/30/2020,6/30/2022,ORP.PA
CH0012280076,STRAUMANN,CHF,9/30/2020,6/30/2022,STMN.SW
SE0000825820,LUNDIN ENERGY,SEK,9/30/2020,6/30/2022,ORRON.ST
CH0001752309,GEORG FISCHER,CHF,9/30/2020,6/30/2022,FCHRF.US
GB0002162385,AVIVA,GBP,9/30/2020,6/30/2022,AIVAF.US
CH0012530207,BACHEM HOLDING,CHF,10/29/2021,6/30/2022,BANB.SW
SE0007074844,WALLENSTAM B,SEK,9/30/2020,6/30/2022,WALL-B.ST
NO0003028904,SCHIBSTED GRUPPEN,NOK,9/30/2020,6/30/2022,SCHA.OL
SE0011166610,ATLAS COPCO A,SEK,9/30/2020,6/30/2022,ATCO-A.ST
AT0000606306,RAIFFEISEN BANK INTERNATIONAL,EUR,9/30/2020,9/30/2022,RBI.VI
GB00BDD85M81,AVAST PLC,GBP,9/30/2020,9/30/2022,AVST.LSE
FR0000051732,ATOS,EUR,9/30/2020,9/30/2022,ATO.PA
SE0007691613,DOMETIC GROUP AB,SEK,9/30/2020,9/30/2022,DOM.ST
GB0009252882,GSK,GBP,9/30/2020,9/30/2022,GLAXF.US
GB0002405495,SCHRODERS,GBP,9/30/2020,9/30/2022,SDR.LSE
DE000PSM7770,PROSIEBENSAT.1 MEDIA,EUR,9/30/2020,9/30/2022,PSM.XETRA
SE0014401378,ADDLIFE,SEK,10/29/2021,9/30/2022,ALIF-B.ST
SE0016101844,SINCH,SEK,6/30/2021,9/30/2022,SINCH.ST
CH0010570759,LINDT & SPRUENGLI REG,CHF,9/30/2020,9/30/2022,LISN.SW
JE00BYVQYS01,IWG PLC,GBP,9/30/2020,9/30/2022,IWG.LSE
GB00B7T77214,NATWEST GROUP,GBP,9/30/2020,9/30/2022,NWG.LSE
DE0008303504,TAG IMMOBILIEN AG,EUR,9/30/2020,9/30/2022,TEG.XETRA
GB0005758098,MEGGITT,GBP,9/30/2020,9/30/2022,MGGT.LSE
CH0006372897,INTERROLL,CHF,12/31/2021,9/30/2022,INRN.SW
ES0137650018,FLUIDRA,EUR,6/30/2021,9/30/2022,FDR.MC
SE0016797732,STORSKOGEN GROUP B,SEK,12/31/2021,9/30/2022,STOR-B.ST
GB0009123323,ULTRA ELECTRONICS,GBP,3/31/2022,9/30/2022,ULE.LSE
GB00B7KR2P84,EASYJET,GBP,3/31/2022,9/30/2022,EZJ.LSE
JE00BN574F90,WIZZAIR,GBP,3/31/2021,9/30/2022,WIZZ.LSE
BMG0670A1099,AUTOSTORE HOLDINGS,NOK,12/31/2021,9/30/2022,AUTO.OL
SE0000190126,INDUSTRIVARDEN A,SEK,9/30/2020,9/30/2022,INDU-A.ST
DE000UNSE018,UNIPER,EUR,9/30/2020,9/30/2022,UNPRF.US
SE0016278196,SECTRA 'B',SEK,12/31/2021,12/30/2022,SECT-B.ST
BE0003810273,PROXIMUS,EUR,9/30/2020,12/30/2022,PROX.BR
SE0011205202,VITROLIFE,SEK,10/29/2021,12/30/2022,VITR.ST
NO0010844038,ADEVINTA,NOK,9/30/2020,12/30/2022,ADE.OL
IT0003506190,ATLANTIA,EUR,9/30/2020,12/30/2022,0I2R.LSE
GB00BND88V85,BRIDGEPOINT GROUP,GBP,10/29/2021,12/30/2022,BPT.LSE
ES0143416115,SIEMENS GAMESA,EUR,9/30/2020,12/30/2022,SGRE.MC
GB00BRS65X63,INDIVIOR,GBP,6/30/2022,12/30/2022,INDV.LSE
GB00BNYK8G86,DARKTRACE,GBP,9/30/2022,12/30/2022,DARK.LSE
SE0012116390,VIAPLAY GROUP B,SEK,12/31/2020,12/30/2022,VPLAY-B.ST
SE0015812219,SWEDISH MATCH,SEK,6/30/2021,12/30/2022,SWMA.ST
GB0009292243,VICTREX,GBP,9/30/2020,3/31/2023,VCT.LSE
GB00BBG9VN75,AVEVA GRP,GBP,9/30/2020,3/31/2023,AVV.LSE
GB00BP6S8Z30,OXFORD NANOPORE TECHNOLOGIES,GBP,12/31/2021,3/31/2023,ONT.LSE
NL0012817175,ALFEN,EUR,9/30/2022,3/31/2023,ALFEN.AS
IE00BZ12WP82,LINDE,EUR,9/30/2020,3/31/2023,LIN.XETRA
GB00BYRJ5J14,PRIMARY HEALTH PROPS.,GBP,9/30/2020,3/31/2023,PHP.LSE
GB00BYYTFB60,HOMESERVE,GBP,9/30/2020,3/31/2023,HSV.LSE
DK0060952919,NETCOMPANY GROUP AS,DKK,9/30/2020,3/31/2023,NETC.CO
GB00BVGBWW93,ASSURA,GBP,9/30/2022,3/31/2023,AGR.LSE
DE000TUAG000,TUI,GBP,12/31/2020,3/31/2023,TUI1.XETRA
JE00BJVNSS43,FERGUSON PLC,GBP,9/30/2020,3/31/2023,FERG.LSE
LU1673108939,AROUNDTOWN (FRA),EUR,9/30/2020,6/30/2023,AT1.XETRA
ES0118900010,FERROVIAL,EUR,9/30/2020,6/30/2023,FER.MC
CH0012138530,CREDIT SUISSE GRP,CHF,9/30/2020,6/30/2023,CSGN.SW
GB00BNR5MZ78,MELROSE INDUSTRIES,GBP,10/29/2021,6/30/2023,MRO.LSE
SE0009554454,SAMHALLSBYGGNADSBOL AGET NORD,SEK,9/30/2020,6/30/2023,SBB-B.ST
DE000A3H3LL2,VANTAGE TOWERS N,EUR,3/31/2022,6/30/2023,VTWR.HM
CH0002497458,SGS,CHF,9/30/2020,6/30/2023,SGSN.SW
NL0000009827,KONINKLIJKE DSM,EUR,9/30/2020,6/30/2023,DSM.AS
SE0016101844,SINCH,SEK,3/31/2023,6/30/2023,SINCH.ST
SE0017780133,WALLENSTAM B,SEK,6/30/2022,6/30/2023,WALL-B.ST
SE0017768716,BOLIDEN,SEK,6/30/2022,6/30/2023,BOL.ST
FR0010242511,EDF,EUR,9/30/2020,6/30/2023,EDF.PA
GB00BYZN9041,FUTURE,GBP,6/30/2021,6/30/2023,FUTR.LSE
SE0018040677,HEXATRONIC GROUP,SEK,12/30/2022,6/30/2023,HTRO.ST
DE0005089031,UNITED INTERNET,EUR,9/30/2020,6/30/2023,UTDI.XETRA
GB0007668071,CLOSE BROTHERS GRP,GBP,9/30/2020,9/29/2023,CBG.LSE
DK0061802139,ALK-ABELLO B,DKK,3/31/2022,9/29/2023,ALK-B.CO
ES0105563003,CORPO. ACCIONA ENERG. RENOV.,EUR,9/30/2022,9/29/2023,ANE.MC
DK0060534915,NOVO NORDISK B,DKK,9/30/2020,9/29/2023,NONOF.US
DK0015998017,BAVARIAN NORDIC,DKK,9/30/2022,9/29/2023,BAVA.CO
DE000A1J5RX9,TELEFONICA DEUTSCHLAND,EUR,6/30/2022,9/29/2023,O2D.STU
DK0060495240,SIMCORP,DKK,9/30/2020,9/29/2023,SIM.CO
FR0000031122,AIR FRANCE-KLM,EUR,3/31/2023,9/29/2023,AF.PA
GB0002074580,GENUS,GBP,9/30/2020,12/29/2023,GNS.LSE
NL0010545661,CNH Industrial NV,EUR,9/30/2020,12/29/2023,CNH.US
NL0000303709,AEGON,EUR,9/30/2020,12/29/2023,AGN.AS
FR001400J770,AIR FRANCE-KLM,EUR,9/29/2023,12/29/2023,AF.PA
FI0009003305,SAMPO,EUR,9/30/2020,12/29/2023,SAMPO.HE
AT0000A18XM4,AMS-OSRAM AG,CHF,9/30/2020,12/29/2023,AMS.SW
BE0003470755,SOLVAY,EUR,9/30/2020,12/29/2023,SOLB.BR
GB00BG12Y042,ENERGEAN PLC,GBP,12/30/2022,12/29/2023,ENOG.LSE
SE0007871645,KINDRED GROUP,SEK,3/31/2021,12/29/2023,KIND-SDB.ST
GB00BLDRH360,OSB GROUP,GBP,3/31/2022,12/29/2023,OSB.LSE
SE0018245953,SECTRA 'B',SEK,12/30/2022,12/29/2023,SECT-B.ST
NO0010081235,NEL,NOK,9/30/2022,12/29/2023,NEL.OL
LU0156801721,TENARIS,EUR,9/30/2020,12/29/2023,TEN.US
NO0003055501,NORDIC SEMICONDUCTOR,NOK,3/31/2021,12/29/2023,NOD.OL
ES0139140174,INMOBILIARIA COLONIAL SOCIMI,EUR,9/30/2020,3/28/2024,COL.MC
GB00BJDQQ870,WATCHES OF SWITZERLAND GROUP,GBP,12/31/2021,3/28/2024,WOSG.LSE
GB00B1CRLC47,MONDI,GBP,9/30/2020,3/28/2024,MNDI.LSE
GB0009633180,DECHRA PHARMACEUTICALS,GBP,9/30/2020,3/28/2024,DPH.LSE
SE0016828511,EMBRACER GROUP,SEK,3/31/2023,3/28/2024,EMBRAC-B.ST
DK0060227585,CHR HANSEN HLDG,DKK,9/30/2020,3/28/2024,CHR.CO
GB00BYQ46T41,LXI REIT PLC,GBP,9/30/2022,3/28/2024,LXI.LSE
NL0012169213,QIAGEN,EUR,9/30/2020,3/28/2024,QGEN.US
GB00BMBVGQ36,HARBOUR ENERGY,GBP,6/30/2022,3/28/2024,HBR.LSE
GB00BMWRZ071,DOWLAIS GROUP,GBP,6/30/2023,3/28/2024,DWL.LSE
DE0006095003,ENCAVIS,EUR,9/30/2022,3/28/2024,ECV.XETRA
SE0000862997,BILLERUD,SEK,9/30/2020,3/28/2024,BILL.ST
DK0060477503,TOPDANMARK,DKK,9/30/2022,6/28/2024,TOP.CO
NO0010844038,ADEVINTA,NOK,12/29/2023,6/28/2024,ADE.OL
SE0000112385,SAAB B,SEK,6/30/2022,6/28/2024,SAABY.US
DE000A161408,HELLOFRESH AG,EUR,9/30/2020,6/28/2024,HFG.XETRA
FI4000312251,KOJAMO OYJ,EUR,9/30/2020,6/28/2024,KOJAMO.HE
FR0000130395,REMY COINTREAU,EUR,9/30/2020,6/28/2024,RCO.PA
SE0016844831,VOLVO CAR B,SEK,12/31/2021,6/28/2024,VOLCAR-B.ST
GB00B2PDGW16,NEW WH SMITH,GBP,6/30/2023,6/28/2024,SMWH.LSE
GB00BGBN7C04,SSP GROUP,GBP,6/30/2023,6/28/2024,SSPG.LSE
SE0011166974,FABEGE,SEK,9/30/2020,6/28/2024,FABG.ST
DE0005664809,EVOTEC,EUR,9/30/2020,6/28/2024,EVT.XETRA
DE000A2YN900,TEAMVIEWER AG,EUR,9/29/2023,6/28/2024,TMV.XETRA
IE0001827041,CRH,EUR,9/30/2020,6/28/2024,CRH.LSE
SE0015810247,KINNEVIK B,SEK,6/30/2021,6/28/2024,0RH1.LSE
GB00BLJNXL82,BERKELEY GRP HLDG,GBP,10/29/2021,9/30/2024,BKG.LSE
GB00BD6GN030,Virgin Money UK,GBP,3/31/2021,9/30/2024,VMUK.LSE
IE00BWT6H894,FLUTTER ENTERTAINMENT,EUR,9/30/2020,9/30/2024,FLTR.LSE
DE0007500001,THYSSENKRUPP,EUR,9/30/2020,9/30/2024,TKA.XETRA
FR0000121147,FORVIA,EUR,9/30/2020,9/30/2024,FRVIA.PA
FI0009013429,CARGOTEC CORPORATION,EUR,3/28/2024,9/30/2024,CGCBV.HE
IE00B1RR8406,SMURFIT KAPPA GRP,EUR,9/30/2020,9/30/2024,SK3.STU
GB00BN4HT335,INDIVIOR,GBP,12/30/2022,9/30/2024,INDV.LSE
FR0000054470,UBISOFT ENTERTAINMENT,EUR,9/30/2020,9/30/2024,UBI.PA
SE0021628898,VOLVO CAR B,SEK,6/28/2024,12/30/2024,VOLCAR-B.ST
SE0020539310,SECTRA 'B',SEK,12/29/2023,12/30/2024,SECT-B.ST
NL0010558797,OCI,EUR,6/30/2022,12/30/2024,OCI.AS
FR0000127771,VIVENDI,EUR,9/30/2020,12/30/2024,VIV.PA
LU0088087324,SES,EUR,9/30/2020,12/30/2024,SESG.PA
FR0011981968,WORLDLINE,EUR,9/30/2020,12/30/2024,WLN.PA
DE000WCH8881,WACKER CHEMIE,EUR,6/30/2022,12/30/2024,WCH.XETRA
DE000A0WMPJ6,AIXTRON,EUR,6/30/2022,12/30/2024,AIXA.XETRA
GB00BNYK8G86,DARKTRACE,GBP,6/28/2024,12/30/2024,DARK.LSE
DE000A1PHFF7,HUGO BOSS,EUR,3/31/2022,12/30/2024,BOSS.XETRA
GB0004161021,HAYS,GBP,9/30/2020,12/30/2024,HAS.LSE
FR0000073298,IPSOS,EUR,3/28/2024,12/30/2024,IPS.PA
GB0008220112,DS SMITH,GBP,9/30/2020,3/28/2025,SMDS.LSE
FR001400T0D6,CANAL+,GBP,12/30/2024,3/28/2025,CAN.LSE
GB00B0N8QD54,BRITVIC,GBP,9/30/2020,3/28/2025,BVIC.LSE
GB00B1VZ0M25,HARGREAVES LANSDOWN,GBP,9/30/2020,3/28/2025,HL.LSE
GB00BK9RKT01,TRAVIS PERKINS,GBP,6/30/2021,3/28/2025,TPK.LSE
FR0011675362,NEOEN SA,EUR,6/28/2024,3/28/2025,NEOEN.PA
FR0013227113,SOITEC,EUR,9/30/2020,3/28/2025,SOI.PA
NL0015001WM6,QIAGEN,EUR,3/28/2024,3/28/2025,QGEN.US
DE0006062144,COVESTRO,EUR,9/30/2020,3/28/2025,1COV.XETRA
SE0009806607,MUNTERS GROUP AB,SEK,6/28/2024,3/28/2025,MTRS.ST
SE0001174970,MILLICOM INTL.CELU. SDR,SEK,6/30/2021,3/28/2025,TIGO.US
BE0974320526,UMICORE,EUR,9/30/2020,3/28/2025,UMI.BR
CH0038863350,NESTLE,CHF,9/30/2020,,NESN.SW
CH0012032048,ROCHE HLDG P,CHF,9/30/2020,,ROG.SW
CH0012005267,NOVARTIS,CHF,9/30/2020,,NOVN.SW
DE0007164600,SAP,EUR,9/30/2020,,SAP.XETRA
NL0010273215,ASML HLDG,EUR,9/30/2020,,ASML.AS
GB0009895292,ASTRAZENECA,GBP,9/30/2020,,AZN.LSE
FR0000121014,LVMH MOET HENNESSY,EUR,9/30/2020,,MC.PA
FR0000120578,SANOFI,EUR,9/30/2020,,SAN.PA
DE0007236101,SIEMENS,EUR,9/30/2020,,SIE.XETRA
FR0000120271,TOTALENERGIES,EUR,9/30/2020,,TTE.PA
GB0002875804,BRITISH AMERICAN TOBACCO,GBP,9/30/2020,,BATS.LSE
GB0005405286,HSBC,GBP,9/30/2020,,HSBA.LSE
GB0002374006,DIAGEO,GBP,9/30/2020,,DGE.LSE
DE0008404005,ALLIANZ,EUR,9/30/2020,,ALV.XETRA
FR0000120321,L'OREAL,EUR,9/30/2020,,OR.PA
FR0000120073,AIR LIQUIDE,EUR,9/30/2020,,AI.PA
GB00B10RZP78,UNILEVER PLC,GBP,9/30/2020,,ULVR.LSE
GB00B24CGK77,RECKITT BENCKISER GRP,GBP,9/30/2020,,RKT.LSE
ES0144580Y14,IBERDROLA,EUR,9/30/2020,,IBE.MC
FR0000121972,SCHNEIDER ELECTRIC,EUR,9/30/2020,,SU.PA
IT0003128367,ENEL,EUR,9/30/2020,,ENL.XETRA
GB0007188757,RIO TINTO,GBP,9/30/2020,,RIO.LSE
DE000BAY0017,BAYER,EUR,9/30/2020,,BAYN.XETRA
DE000A1EWWW0,ADIDAS,EUR,9/30/2020,,ADS.XETRA
GB0007980591,BP,GBP,9/30/2020,,BP.LSE
DE000BASF111,BASF,EUR,9/30/2020,,BAS.XETRA
DE0005557508,DEUTSCHE TELEKOM,EUR,9/30/2020,,DTE.XETRA
CH0011075394,ZURICH INSURANCE GROUP,CHF,9/30/2020,,ZURN.SW
NL0012969182,ADYEN,EUR,9/30/2020,,ADYEN.AS
FR0000121485,Kering,EUR,9/30/2020,,KER.PA
CH0012221716,ABB,CHF,9/30/2020,,ABBN.SW
FR0000125486,VINCI,EUR,9/30/2020,,DG.PA
CH0013841017,LONZA,CHF,9/30/2020,,LONN.SW
BE0974293251,ANHEUSER-BUSCH INBEV,EUR,9/30/2020,,ABI.BR
DE0007100000,MERCEDES-BENZ GROUP,EUR,9/30/2020,,MBG.XETRA
DE0005552004,DEUTSCHE POST,EUR,9/30/2020,,DHL.XETRA
GB00B2B0DG97,RELX PLC,GBP,9/30/2020,,REL.LSE
NL0000009538,PHILIPS,EUR,9/30/2020,,PHIA.AS
NL0000235190,AIRBUS,EUR,9/30/2020,,AIR.PA
FR0000120644,DANONE,EUR,9/30/2020,,BN.PA
FR0000131104,BNP PARIBAS,EUR,9/30/2020,,BNP.PA
NL0013654783,Prosus,EUR,9/30/2020,,PRX.AS
GB00BDR05C01,NATIONAL GRID,GBP,9/30/2020,,NG.LSE
FR0000121667,ESSILORLUXOTTICA,EUR,9/30/2020,,EL.PA
CH0244767585,UBS GROUP,CHF,9/30/2020,,UBSG.SW
FR0000120628,AXA,EUR,9/30/2020,,CS.PA
GB0007099541,PRUDENTIAL,GBP,9/30/2020,,PRU.LSE
DE0006231004,INFINEON TECHNOLOGIES,EUR,9/30/2020,,IFX.XETRA
GB00B0SWJX34,LONDON STOCK EXCHANGE,GBP,9/30/2020,,LSEG.LSE
