Ticker,Name,StartDate,EndDate
FI,Fiserv,,2023-06-07
CEG,Constellation Energy,2022-02-02,
INCY,Incyte,2015-10-07,2021-12-20
QCOM,Qualcomm,,
MDB,MongoDB,2023-12-18,2025-05-19
TCOM,Trip.com,,2021-12-20
AMZN,Amazon,,
TSCO,Tractor Supply Company,2013-12-23,2017-12-18
MDLZ,Mondelez International,,
ROP,Roper Technologies,2023-12-18,
BMRN,BioMarin Pharmaceutical,2015-07-27,2020-12-21
HOLX,Hologic,2016-12-19,2018-12-24
SPLK,Splunk,2019-12-23,2022-12-19
SPLK,Splunk,2023-12-18,2024-03-18
CTRP,Ctrip,2015-12-21,2020-07-29
ULTA,Ulta Beauty,2015-12-21,2020-12-21
ALXN,Alexion Pharmaceuticals,,2021-07-21
CSCO,Cisco,,
SIRI,Sirius XM,,2024-06-24
CSX,CSX Corporation,2016-02-16,
BKR,Baker Hughes,2022-12-19,
HAS,Hasbro,2016-12-19,2019-12-23
GILD,Gilead Sciences,,
LCID,Lucid Group,2021-12-20,2023-12-18
BRCM,Broadcom Corporation,,2015-11-11
AMAT,Applied Materials,,
ODFL,Old Dominion Freight Line,2022-01-24,
FOSL,Fossil Group,,2013-12-23
SNDK,SanDisk,,2016-03-16
ATVI,Activision Blizzard,,2023-07-17
GEHC,GE HealthCare,2023-06-07,
VIP,VimpelCom,2013-10-29,2015-12-21
GMCR,Keurig Green Mountain,2013-08-22,2015-12-21
ZM,Zoom Video Communications,2020-04-30,2023-12-18
MRNA,Moderna,2020-07-20,2024-12-23
NUAN,Nuance Communications,,2013-12-23
COST,Costco,,
DXCM,DexCom,2020-04-20,
STX,Seagate Technology,,2018-12-24
STRZA,Starz,2013-01-15,2013-03-18
EA,Electronic Arts,2014-12-22,
MNST,Monster Beverage,,
EXPD,Expeditors International,,2015-12-21
ILMN,Illumina,2013-12-23,2024-12-23
DISH,Dish Network,2013-12-23,2018-07-23
PANW,Palo Alto Networks,2021-12-20,
LBTYA,Liberty Global,,2020-12-21
CRWD,CrowdStrike,2021-08-26,
ADSK,Autodesk,,
ALTR,Altera,,2015-10-07
LRCX,Lam Research,2014-12-22,
GOLD,Randgold Resources,,2013-11-18
TTD,The Trade Desk,2023-07-17,
IDXX,Idexx Laboratories,2017-03-20,
EBAY,EBay,,2023-12-18
TEAM,Atlassian,2020-12-21,
SNPS,Synopsys,2017-12-18,
PTON,Peloton,2020-12-21,2022-01-24
LIN,Linde plc,2024-03-18,
TXN,Texas Instruments,,
BKNG,Booking Holdings,,
RIVN,Rivian Automotive,2022-12-19,2023-06-20
TSLA,Tesla Inc.,2013-07-15,
AMGN,Amgen,,
HON,Honeywell,2021-07-21,
VIAB,Viacom,,2017-12-18
OKTA,Okta,2020-12-21,2022-11-21
FTNT,Fortinet,2021-12-20,
META,Meta Platforms,,
PRGO,Perrigo,,2013-06-06
DISCA,Discovery Communications Series A,,2017-12-18
AZN,AstraZeneca,2022-02-22,
ANSS,Ansys,2019-12-23,
CERN,Cerner,,2021-12-20
SBAC,SBA Communications,,2017-03-20
BBBY,Bed Bath & Beyond,,2016-12-19
PYPL,PayPal,2015-11-11,
ABNB,Airbnb,2021-12-20,
MCHP,Microchip Technology,2016-07-18,
PDD,PDD Holdings,2020-08-24,
NTAP,NetApp,2018-12-24,2020-08-24
AEP,American Electric Power,2020-12-21,
LULU,Lululemon Athletica,2018-12-24,
ORCL,Oracle,,2013-07-15
KDP,Keurig Dr Pepper,2020-10-19,
LILA,Liberty Latin America Class A,2015-07-02,2015-12-21
VRSN,VeriSign,2018-12-24,2022-12-19
CMCSK,Comcast Corporation Class A,2014-12-22,2015-12-11
ON,Onsemi,2023-06-20,
