ISIN,Name,Currency,StartDate,EndDate
NL0012044747,SHOP APOTHEKE EUROPE,EUR,2021-03-31,2021-06-30
SE0000103699,HEXAGON B,SEK,2020-09-30,2021-06-30
GB00BYQ0JC66,BEAZLEY,GBP,2020-09-30,2021-06-30
SE0000107419,INVESTOR B,SEK,2020-09-30,2021-06-30
CH0001503199,BELIMO HOLDING,CHF,2020-09-30,2021-06-30
SE0014684528,KINNEVIK B,SEK,2020-09-30,2021-06-30
CH0496451508,SOFTWAREONE HOLDING,CHF,2020-09-30,2021-06-30
DE000A0HN5C6,DEUTSCHE WOHNEN,EUR,2020-09-30,2021-10-29
DE0005790430,FUCHS PETROLUB PREF,EUR,2020-09-30,2021-10-29
FR0000120685,NATIXIS,EUR,2020-09-30,2021-10-29
NO0010031479,DNB,NOK,2020-09-30,2021-10-29
GB00BZ1G4322,MELROSE INDUSTRIES,GBP,2020-09-30,2021-10-29
GB0059822006,DIALOG SEMICON,EUR,2020-09-30,2021-10-29
CH0363463438,IDORSIA LIMITED,CHF,2020-09-30,2021-10-29
DE0006632003,MORPHOSYS,EUR,2020-09-30,2021-10-29
CH0002178181,STADLER RAIL AG,CHF,2020-09-30,2021-10-29
FR0000130650,DASSAULT SYSTEMS,EUR,2020-09-30,2021-10-29
GB0006043169,MORRISON (WILLIAM) SUPERMARK,GBP,2020-09-30,2021-10-29
NO0010081235,NEL,NOK,2020-09-30,2021-10-29
NO0010715139,SCATEC,NOK,2020-12-31,2021-10-29
SE0000103814,ELECTROLUX B,SEK,2020-09-30,2021-10-29
FR0000121725,DASSAULT AVIATION,EUR,2020-09-30,2021-10-29
GB00B7KR2P84,EASYJET,GBP,2021-06-30,2021-10-29
GB00B18V8630,PENNON GRP,GBP,2020-09-30,2021-10-29
IE0033024807,UDG HEALTHCARE PUBLIC,GBP,2020-09-30,2021-10-29
GB00B02L3W35,BERKELEY GRP HLDG,GBP,2020-09-30,2021-10-29
CH0225173167,CEMBRA MONEY BANK,CHF,2020-09-30,2021-10-29
GB00BMTV7393,THG,GBP,2020-12-31,2021-12-31
SE0000652216,ICA GRUPPEN,SEK,2020-09-30,2021-12-31
GB00BYX91H57,JD SPORTS FASHION,GBP,2020-09-30,2021-12-31
NO0010716418,ENTRA,NOK,2020-09-30,2021-12-31
GB0031215220,CARNIVAL,GBP,2020-09-30,2021-12-31
DE0005111702,ZOOPLUS,EUR,2021-10-29,2021-12-31
LU0775917882,GRAND CITY PROPERTIES,EUR,2020-09-30,2021-12-31
NL0010583399,CORBION,EUR,2020-09-30,2021-12-31
GB00B2PDGW16,NEW WH SMITH,GBP,2021-03-31,2021-12-31
GB00B132NW22,ASHMORE GRP,GBP,2020-09-30,2021-12-31
FR0014004L86,DASSAULT AVIATION,EUR,2021-10-29,2021-12-31
GB00BVGBWW93,ASSURA,GBP,2020-09-30,2021-12-31
GB00BNYK8G86,DARKTRACE,GBP,2021-10-29,2021-12-31
DE000A2YN900,TEAMVIEWER AG,EUR,2020-09-30,2021-12-31
BE0003818359,GALAPAGOS,EUR,2020-09-30,2021-12-31
GB00BDSFG982,TECHNIPFMC,EUR,2020-09-30,2022-03-31
GB00BNC5T391,DELIVEROO A,GBP,2021-06-30,2022-03-31
JE00B6T5S470,POLYMETAL INTERNATIONAL,GBP,2020-09-30,2022-03-31
GB00BYPHNG03,COUNTRYSIDE PROPERTIES PLC,GBP,2020-12-31,2022-03-31
LU2290522684,INPOST,EUR,2021-03-31,2022-03-31
DE000A0LD6E6,GERRESHEIMER,EUR,2020-09-30,2022-03-31
NL0009432491,VOPAK,EUR,2020-09-30,2022-03-31
DE000A2LQ884,AUTO1 GROUP,EUR,2021-06-30,2022-03-31
GB00BH0P3Z91,BHP GROUP PLC.,GBP,2020-09-30,2022-03-31
GB00B03MLX29,ROYAL DUTCH SHELL A,EUR,2020-09-30,2022-03-31
DE000A0LD2U1,ALSTRIA OFFICE REIT,EUR,2020-09-30,2022-03-31
CH0042615283,ZUR ROSE GROUP,CHF,2020-12-31,2022-03-31
GB00B71N6K86,EVRAZ,GBP,2020-09-30,2022-03-31
DK0060027142,ALK-ABELLO B,DKK,2021-12-31,2022-03-31
FR0010613471,SUEZ ENVIRONNEMENT,EUR,2020-09-30,2022-03-31
SE0005999836,AFRY,SEK,2020-09-30,2022-03-31
CH0364749348,VIFOR PHARMA,CHF,2020-09-30,2022-06-30
GB00BDCXV269,QUILTER,GBP,2020-09-30,2022-06-30
FI0009005318,NOKIAN RENKAAT,EUR,2020-09-30,2022-06-30
GB0008754136,TATE & LYLE,GBP,2020-09-30,2022-06-30
SE0000455057,FASTIGHETS BALDER B,SEK,2020-09-30,2022-06-30
SE0009216278,MIPS,SEK,2021-12-31,2022-06-30
FR0000121261,MICHELIN,EUR,2020-09-30,2022-06-30
PLOPTTC00011,CD PROJECT SA,PLN,2020-09-30,2022-06-30
GB00BL6NGV24,DR MARTENS,GBP,2021-06-30,2022-06-30
FR0000120222,CNP ASSURANCES,EUR,2021-12-31,2022-06-30
FI4000198031,QT GROUP,EUR,2021-10-29,2022-06-30
SE0011205194,WIHLBORGS FASTIGHETER,SEK,2020-09-30,2022-06-30
GB00BFZZM640,S4 CAP. ORD SHS,GBP,2021-06-30,2022-06-30
BE0974256852,ETS COLRUYT,EUR,2020-09-30,2022-06-30
NO0005668905,TOMRA SYSTEMS,NOK,2020-09-30,2022-06-30
SE0015811559,BOLIDEN,SEK,2021-06-30,2022-06-30
FR0000184798,ORPEA,EUR,2020-09-30,2022-06-30
CH0012280076,STRAUMANN,CHF,2020-09-30,2022-06-30
SE0000825820,LUNDIN ENERGY,SEK,2020-09-30,2022-06-30
CH0001752309,GEORG FISCHER,CHF,2020-09-30,2022-06-30
GB0002162385,AVIVA,GBP,2020-09-30,2022-06-30
CH0012530207,BACHEM HOLDING,CHF,2021-10-29,2022-06-30
SE0007074844,WALLENSTAM B,SEK,2020-09-30,2022-06-30
NO0003028904,SCHIBSTED GRUPPEN,NOK,2020-09-30,2022-06-30
SE0011166610,ATLAS COPCO A,SEK,2020-09-30,2022-06-30
AT0000606306,RAIFFEISEN BANK INTERNATIONAL,EUR,2020-09-30,2022-09-30
GB00BDD85M81,AVAST PLC,GBP,2020-09-30,2022-09-30
FR0000051732,ATOS,EUR,2020-09-30,2022-09-30
SE0007691613,DOMETIC GROUP AB,SEK,2020-09-30,2022-09-30
GB0009252882,GSK,GBP,2020-09-30,2022-09-30
GB0002405495,SCHRODERS,GBP,2020-09-30,2022-09-30
DE000PSM7770,PROSIEBENSAT.1 MEDIA,EUR,2020-09-30,2022-09-30
SE0014401378,ADDLIFE,SEK,2021-10-29,2022-09-30
SE0016101844,SINCH,SEK,2021-06-30,2022-09-30
CH0010570759,LINDT & SPRUENGLI REG,CHF,2020-09-30,2022-09-30
JE00BYVQYS01,IWG PLC,GBP,2020-09-30,2022-09-30
GB00B7T77214,NATWEST GROUP,GBP,2020-09-30,2022-09-30
DE0008303504,TAG IMMOBILIEN AG,EUR,2020-09-30,2022-09-30
GB0005758098,MEGGITT,GBP,2020-09-30,2022-09-30
CH0006372897,INTERROLL,CHF,2021-12-31,2022-09-30
ES0137650018,FLUIDRA,EUR,2021-06-30,2022-09-30
SE0016797732,STORSKOGEN GROUP B,SEK,2021-12-31,2022-09-30
GB0009123323,ULTRA ELECTRONICS,GBP,2022-03-31,2022-09-30
GB00B7KR2P84,EASYJET,GBP,2022-03-31,2022-09-30
JE00BN574F90,WIZZAIR,GBP,2021-03-31,2022-09-30
BMG0670A1099,AUTOSTORE HOLDINGS,NOK,2021-12-31,2022-09-30
SE0000190126,INDUSTRIVARDEN A,SEK,2020-09-30,2022-09-30
DE000UNSE018,UNIPER,EUR,2020-09-30,2022-09-30
SE0016278196,SECTRA 'B',SEK,2021-12-31,2022-12-30
BE0003810273,PROXIMUS,EUR,2020-09-30,2022-12-30
SE0011205202,VITROLIFE,SEK,2021-10-29,2022-12-30
NO0010844038,ADEVINTA,NOK,2020-09-30,2022-12-30
IT0003506190,ATLANTIA,EUR,2020-09-30,2022-12-30
GB00BND88V85,BRIDGEPOINT GROUP,GBP,2021-10-29,2022-12-30
ES0143416115,SIEMENS GAMESA,EUR,2020-09-30,2022-12-30
GB00BRS65X63,INDIVIOR,GBP,2022-06-30,2022-12-30
GB00BNYK8G86,DARKTRACE,GBP,2022-09-30,2022-12-30
SE0012116390,VIAPLAY GROUP B,SEK,2020-12-31,2022-12-30
SE0015812219,SWEDISH MATCH,SEK,2021-06-30,2022-12-30
GB0009292243,VICTREX,GBP,2020-09-30,2023-03-31
GB00BBG9VN75,AVEVA GRP,GBP,2020-09-30,2023-03-31
GB00BP6S8Z30,OXFORD NANOPORE TECHNOLOGIES,GBP,2021-12-31,2023-03-31
NL0012817175,ALFEN,EUR,2022-09-30,2023-03-31
IE00BZ12WP82,LINDE,EUR,2020-09-30,2023-03-31
GB00BYRJ5J14,PRIMARY HEALTH PROPS.,GBP,2020-09-30,2023-03-31
GB00BYYTFB60,HOMESERVE,GBP,2020-09-30,2023-03-31
DK0060952919,NETCOMPANY GROUP AS,DKK,2020-09-30,2023-03-31
GB00BVGBWW93,ASSURA,GBP,2022-09-30,2023-03-31
DE000TUAG000,TUI,GBP,2020-12-31,2023-03-31
JE00BJVNSS43,FERGUSON PLC,GBP,2020-09-30,2023-03-31
LU1673108939,AROUNDTOWN (FRA),EUR,2020-09-30,2023-06-30
ES0118900010,FERROVIAL,EUR,2020-09-30,2023-06-30
CH0012138530,CREDIT SUISSE GRP,CHF,2020-09-30,2023-06-30
GB00BNR5MZ78,MELROSE INDUSTRIES,GBP,2021-10-29,2023-06-30
SE0009554454,SAMHALLSBYGGNADSBOL AGET NORD,SEK,2020-09-30,2023-06-30
DE000A3H3LL2,VANTAGE TOWERS N,EUR,2022-03-31,2023-06-30
CH0002497458,SGS,CHF,2020-09-30,2023-06-30
NL0000009827,KONINKLIJKE DSM,EUR,2020-09-30,2023-06-30
SE0016101844,SINCH,SEK,2023-03-31,2023-06-30
SE0017780133,WALLENSTAM B,SEK,2022-06-30,2023-06-30
SE0017768716,BOLIDEN,SEK,2022-06-30,2023-06-30
FR0010242511,EDF,EUR,2020-09-30,2023-06-30
GB00BYZN9041,FUTURE,GBP,2021-06-30,2023-06-30
SE0018040677,HEXATRONIC GROUP,SEK,2022-12-30,2023-06-30
DE0005089031,UNITED INTERNET,EUR,2020-09-30,2023-06-30
GB0007668071,CLOSE BROTHERS GRP,GBP,2020-09-30,2023-09-29
DK0061802139,ALK-ABELLO B,DKK,2022-03-31,2023-09-29
ES0105563003,CORPO. ACCIONA ENERG. RENOV.,EUR,2022-09-30,2023-09-29
DK0060534915,NOVO NORDISK B,DKK,2020-09-30,2023-09-29
DK0015998017,BAVARIAN NORDIC,DKK,2022-09-30,2023-09-29
DE000A1J5RX9,TELEFONICA DEUTSCHLAND,EUR,2022-06-30,2023-09-29
DK0060495240,SIMCORP,DKK,2020-09-30,2023-09-29
FR0000031122,AIR FRANCE-KLM,EUR,2023-03-31,2023-09-29
GB0002074580,GENUS,GBP,2020-09-30,2023-12-29
NL0010545661,CNH Industrial NV,EUR,2020-09-30,2023-12-29
NL0000303709,AEGON,EUR,2020-09-30,2023-12-29
FR001400J770,AIR FRANCE-KLM,EUR,2023-09-29,2023-12-29
FI0009003305,SAMPO,EUR,2020-09-30,2023-12-29
AT0000A18XM4,AMS-OSRAM AG,CHF,2020-09-30,2023-12-29
BE0003470755,SOLVAY,EUR,2020-09-30,2023-12-29
GB00BG12Y042,ENERGEAN PLC,GBP,2022-12-30,2023-12-29
SE0007871645,KINDRED GROUP,SEK,2021-03-31,2023-12-29
GB00BLDRH360,OSB GROUP,GBP,2022-03-31,2023-12-29
SE0018245953,SECTRA 'B',SEK,2022-12-30,2023-12-29
NO0010081235,NEL,NOK,2022-09-30,2023-12-29
LU0156801721,TENARIS,EUR,2020-09-30,2023-12-29
NO0003055501,NORDIC SEMICONDUCTOR,NOK,2021-03-31,2023-12-29
ES0139140174,INMOBILIARIA COLONIAL SOCIMI,EUR,2020-09-30,2024-03-28
GB00BJDQQ870,WATCHES OF SWITZERLAND GROUP,GBP,2021-12-31,2024-03-28
GB00B1CRLC47,MONDI,GBP,2020-09-30,2024-03-28
GB0009633180,DECHRA PHARMACEUTICALS,GBP,2020-09-30,2024-03-28
SE0016828511,EMBRACER GROUP,SEK,2023-03-31,2024-03-28
DK0060227585,CHR HANSEN HLDG,DKK,2020-09-30,2024-03-28
GB00BYQ46T41,LXI REIT PLC,GBP,2022-09-30,2024-03-28
NL0012169213,QIAGEN,EUR,2020-09-30,2024-03-28
GB00BMBVGQ36,HARBOUR ENERGY,GBP,2022-06-30,2024-03-28
GB00BMWRZ071,DOWLAIS GROUP,GBP,2023-06-30,2024-03-28
DE0006095003,ENCAVIS,EUR,2022-09-30,2024-03-28
SE0000862997,BILLERUD,SEK,2020-09-30,2024-03-28
DK0060477503,TOPDANMARK,DKK,2022-09-30,2024-06-28
NO0010844038,ADEVINTA,NOK,2023-12-29,2024-06-28
SE0000112385,SAAB B,SEK,2022-06-30,2024-06-28
DE000A161408,HELLOFRESH AG,EUR,2020-09-30,2024-06-28
FI4000312251,KOJAMO OYJ,EUR,2020-09-30,2024-06-28
FR0000130395,REMY COINTREAU,EUR,2020-09-30,2024-06-28
SE0016844831,VOLVO CAR B,SEK,2021-12-31,2024-06-28
GB00B2PDGW16,NEW WH SMITH,GBP,2023-06-30,2024-06-28
GB00BGBN7C04,SSP GROUP,GBP,2023-06-30,2024-06-28
SE0011166974,FABEGE,SEK,2020-09-30,2024-06-28
DE0005664809,EVOTEC,EUR,2020-09-30,2024-06-28
DE000A2YN900,TEAMVIEWER AG,EUR,2023-09-29,2024-06-28
IE0001827041,CRH,EUR,2020-09-30,2024-06-28
SE0015810247,KINNEVIK B,SEK,2021-06-30,2024-06-28
GB00BLJNXL82,BERKELEY GRP HLDG,GBP,2021-10-29,2024-09-30
GB00BD6GN030,Virgin Money UK,GBP,2021-03-31,2024-09-30
IE00BWT6H894,FLUTTER ENTERTAINMENT,EUR,2020-09-30,2024-09-30
DE0007500001,THYSSENKRUPP,EUR,2020-09-30,2024-09-30
FR0000121147,FORVIA,EUR,2020-09-30,2024-09-30
FI0009013429,CARGOTEC CORPORATION,EUR,2024-03-28,2024-09-30
IE00B1RR8406,SMURFIT KAPPA GRP,EUR,2020-09-30,2024-09-30
GB00BN4HT335,INDIVIOR,GBP,2022-12-30,2024-09-30
FR0000054470,UBISOFT ENTERTAINMENT,EUR,2020-09-30,2024-09-30
SE0021628898,VOLVO CAR B,SEK,2024-06-28,2024-12-30
SE0020539310,SECTRA 'B',SEK,2023-12-29,2024-12-30
NL0010558797,OCI,EUR,2022-06-30,2024-12-30
FR0000127771,VIVENDI,EUR,2020-09-30,2024-12-30
LU0088087324,SES,EUR,2020-09-30,2024-12-30
FR0011981968,WORLDLINE,EUR,2020-09-30,2024-12-30
DE000WCH8881,WACKER CHEMIE,EUR,2022-06-30,2024-12-30
DE000A0WMPJ6,AIXTRON,EUR,2022-06-30,2024-12-30
GB00BNYK8G86,DARKTRACE,GBP,2024-06-28,2024-12-30
DE000A1PHFF7,HUGO BOSS,EUR,2022-03-31,2024-12-30
GB0004161021,HAYS,GBP,2020-09-30,2024-12-30
FR0000073298,IPSOS,EUR,2024-03-28,2024-12-30
GB0008220112,DS SMITH,GBP,2020-09-30,2025-03-28
FR001400T0D6,CANAL+,GBP,2024-12-30,2025-03-28
GB00B0N8QD54,BRITVIC,GBP,2020-09-30,2025-03-28
GB00B1VZ0M25,HARGREAVES LANSDOWN,GBP,2020-09-30,2025-03-28
GB00BK9RKT01,TRAVIS PERKINS,GBP,2021-06-30,2025-03-28
FR0011675362,NEOEN SA,EUR,2024-06-28,2025-03-28
FR0013227113,SOITEC,EUR,2020-09-30,2025-03-28
NL0015001WM6,QIAGEN,EUR,2024-03-28,2025-03-28
DE0006062144,COVESTRO,EUR,2020-09-30,2025-03-28
SE0009806607,MUNTERS GROUP AB,SEK,2024-06-28,2025-03-28
SE0001174970,MILLICOM INTL.CELU. SDR,SEK,2021-06-30,2025-03-28
BE0974320526,UMICORE,EUR,2020-09-30,2025-03-28
CH0038863350,NESTLE,CHF,2020-09-30,
CH0012032048,ROCHE HLDG P,CHF,2020-09-30,
CH0012005267,NOVARTIS,CHF,2020-09-30,
DE0007164600,SAP,EUR,2020-09-30,
NL0010273215,ASML HLDG,EUR,2020-09-30,
GB0009895292,ASTRAZENECA,GBP,2020-09-30,
FR0000121014,LVMH MOET HENNESSY,EUR,2020-09-30,
FR0000120578,SANOFI,EUR,2020-09-30,
DE0007236101,SIEMENS,EUR,2020-09-30,
FR0000120271,TOTALENERGIES,EUR,2020-09-30,
GB0002875804,BRITISH AMERICAN TOBACCO,GBP,2020-09-30,
GB0005405286,HSBC,GBP,2020-09-30,
GB0002374006,DIAGEO,GBP,2020-09-30,
DE0008404005,ALLIANZ,EUR,2020-09-30,
FR0000120321,L'OREAL,EUR,2020-09-30,
FR0000120073,AIR LIQUIDE,EUR,2020-09-30,
GB00B10RZP78,UNILEVER PLC,GBP,2020-09-30,
GB00B24CGK77,RECKITT BENCKISER GRP,GBP,2020-09-30,
ES0144580Y14,IBERDROLA,EUR,2020-09-30,
FR0000121972,SCHNEIDER ELECTRIC,EUR,2020-09-30,
IT0003128367,ENEL,EUR,2020-09-30,
GB0007188757,RIO TINTO,GBP,2020-09-30,
DE000BAY0017,BAYER,EUR,2020-09-30,
DE000A1EWWW0,ADIDAS,EUR,2020-09-30,
GB0007980591,BP,GBP,2020-09-30,
DE000BASF111,BASF,EUR,2020-09-30,
DE0005557508,DEUTSCHE TELEKOM,EUR,2020-09-30,
CH0011075394,ZURICH INSURANCE GROUP,CHF,2020-09-30,
NL0012969182,ADYEN,EUR,2020-09-30,
FR0000121485,Kering,EUR,2020-09-30,
CH0012221716,ABB,CHF,2020-09-30,
FR0000125486,VINCI,EUR,2020-09-30,
CH0013841017,LONZA,CHF,2020-09-30,
BE0974293251,ANHEUSER-BUSCH INBEV,EUR,2020-09-30,
DE0007100000,MERCEDES-BENZ GROUP,EUR,2020-09-30,
DE0005552004,DEUTSCHE POST,EUR,2020-09-30,
GB00B2B0DG97,RELX PLC,GBP,2020-09-30,
NL0000009538,PHILIPS,EUR,2020-09-30,
NL0000235190,AIRBUS,EUR,2020-09-30,
FR0000120644,DANONE,EUR,2020-09-30,
FR0000131104,BNP PARIBAS,EUR,2020-09-30,
NL0013654783,Prosus,EUR,2020-09-30,
GB00BDR05C01,NATIONAL GRID,GBP,2020-09-30,
FR0000121667,ESSILORLUXOTTICA,EUR,2020-09-30,
CH0244767585,UBS GROUP,CHF,2020-09-30,
FR0000120628,AXA,EUR,2020-09-30,
GB0007099541,PRUDENTIAL,GBP,2020-09-30,
DE0006231004,INFINEON TECHNOLOGIES,EUR,2020-09-30,
GB00B0SWJX34,LONDON STOCK EXCHANGE,GBP,2020-09-30,
FI0009013403,KONE B,EUR,2020-09-30,
GB00BH4HKS39,VODAFONE GRP,GBP,2020-09-30,
DE0008430026,MUENCHENER RUECK,EUR,2020-09-30,
DE000A1ML7J1,Vonovia SE,EUR,2020-09-30,
CH0210483332,CIE FINANCIERE RICHEMONT,CHF,2020-09-30,
CH0418792922,SIKA,CHF,2020-09-30,
FR0000073272,SAFRAN,EUR,2020-09-30,
GB00B19NLV48,EXPERIAN,GBP,2020-09-30,
CH0010645932,GIVAUDAN,CHF,2020-09-30,
IT0000072618,INTESA SANPAOLO,EUR,2020-09-30,
SE0000108656,ERICSSON LM B,SEK,2020-09-30,
DK0060079531,DSV,DKK,2020-09-30,
DE0005810055,DEUTSCHE BOERSE,EUR,2020-09-30,
NL0011794037,AHOLD DELHAIZE,EUR,2020-09-30,
FR0000120693,PERNOD RICARD,EUR,2020-09-30,
ES0113900J37,BCO SANTANDER,EUR,2020-09-30,
ES0148396007,Industria de Diseno Textil SA,EUR,2020-09-30,
SE0000115446,VOLVO B,SEK,2020-09-30,
FR0000052292,HERMES INTERNATIONAL,EUR,2020-09-30,
GB00B1XZS820,ANGLO AMERICAN,GBP,2020-09-30,
DE0007664039,VOLKSWAGEN PREF,EUR,2020-09-30,
CH0432492467,ALCON,CHF,2020-09-30,
NL0011821202,ING GRP,EUR,2020-09-30,
GB00BD6K4575,COMPASS GRP,GBP,2020-09-30,
DE0007037129,RWE,EUR,2020-09-30,
ES0109067019,AMADEUS IT GROUP,EUR,2020-09-30,
FR0010208488,ENGIE,EUR,2020-09-30,
DE000ENAG999,E.ON,EUR,2020-09-30,
FI4000297767,NORDEA BANK,SEK,2020-09-30,
DK0060094928,ORSTED,DKK,2020-09-30,
GB0008706128,LLOYDS BANKING GRP,GBP,2020-09-30,
DK0010272202,GENMAB,DKK,2020-09-30,
NL0000395903,WOLTERS KLUWER,EUR,2020-09-30,
DE0005190003,BMW,EUR,2020-09-30,
SE0007100581,ASSA ABLOY,SEK,2020-09-30,
CH0012214059,Holcim,CHF,2020-09-30,
FR0000125007,SAINT GOBAIN,EUR,2020-09-30,
JE00B4T3BW64,GLENCORE PLC,GBP,2020-09-30,
FI0009013296,NESTE,EUR,2020-09-30,
GB00B3MBS747,OCADO,GBP,2020-09-30,
NL0011585146,FERRARI,EUR,2020-09-30,
FI0009000681,NOKIA,EUR,2020-09-30,
CH0030170408,GEBERIT,CHF,2020-09-30,
FR0000125338,CAP GEMINI,EUR,2020-09-30,
SE0009922164,Essity B,SEK,2020-09-30,
ES0105066007,CELLNEX TELECOM,EUR,2020-09-30,
SE0000667891,SANDVIK,SEK,2020-09-30,
CH0126881561,SWISS REINSURANCE COMPANY,CHF,2020-09-30,
FR0010307819,LEGRAND,EUR,2020-09-30,
NL0000009165,HEINEKEN,EUR,2020-09-30,
FR0000133308,ORANGE,EUR,2020-09-30,
GB0031348658,BARCLAYS,GBP,2020-09-30,
NL0000226223,STMICROELECTRONICS,EUR,2020-09-30,
GB0002634946,BAE SYSTEMS,GBP,2020-09-30,
IE0004906560,KERRY GRP,EUR,2020-09-30,
IT0003132476,ENI,EUR,2020-09-30,
NL0013267909,AKZO NOBEL,EUR,2020-09-30,
DE0006599905,MERCK,EUR,2020-09-30,
DK0060448595,COLOPLAST B,DKK,2020-09-30,
DE0005785604,FRESENIUS,EUR,2020-09-30,
DE0006048432,HENKEL PREF,EUR,2020-09-30,
ES0113211835,BCO BILBAO VIZCAYA ARGENTARIA,EUR,2020-09-30,
IT0005239360,UNICREDIT,EUR,2020-09-30,
IT0000062072,ASSICURAZIONI GENERALI,EUR,2020-09-30,
FR0000051807,TELEPERFORMANCE,EUR,2020-09-30,
DE000SYM9999,SYMRISE,EUR,2020-09-30,
DE0005785802,FRESENIUS MEDICAL CARE,EUR,2020-09-30,
DE0005140008,DEUTSCHE BANK,EUR,2020-09-30,
ES0178430E18,TELEFONICA,EUR,2020-09-30,
GB0009223206,SMITH & NEPHEW,GBP,2020-09-30,
CH0024608827,PARTNERS GRP HLDG,CHF,2020-09-30,
GB0004544929,IMPERIAL BRANDS,GBP,2020-09-30,
GB0000536739,ASHTEAD GRP,GBP,2020-09-30,
DE000ZAL1111,ZALANDO,EUR,2020-09-30,
GB0007908733,SCOTTISH & SOUTHERN ENERGY,GBP,2020-09-30,
FI0009005987,UPM KYMMENE,EUR,2020-09-30,
DE000A2E4K43,DELIVERY HERO,EUR,2020-09-30,
SE0000242455,SWEDBANK,SEK,2020-09-30,
GB0005603997,LEGAL & GENERAL GRP,GBP,2020-09-30,
NO0010096985,EQUINOR,NOK,2020-09-30,
BE0003739530,UCB,EUR,2020-09-30,
GB00B5ZN1N88,SEGRO,GBP,2020-09-30,
SE0000148884,SKANDINAVISKA ENSKILDA BK A,SEK,2020-09-30,
IE0004927939,KINGSPAN GRP,EUR,2020-09-30,
DE0007165631,SARTORIUS PREF.,EUR,2020-09-30,
PTEDP0AM0009,EDP (PT),EUR,2020-09-30,
DK0010181759,CARLSBERG B,DKK,2020-09-30,
CH0012549785,SONOVA,CHF,2020-09-30,
CH0008742519,SWISSCOM,CHF,2020-09-30,
