Code,Name,StartDate,EndDate,IsActiveNow,IsDelisted,EODHD
CRM,Salesforce.com Inc,2008-09-12,,1,0,CRM.US
CRWD,Crowdstrike Holdings Inc,2024-06-24,,1,0,CRWD.US
CSCO,Cisco Systems Inc,1993-12-01,,1,0,CSCO.US
CSGP,CoStar Group Inc,2022-09-19,,1,0,CSGP.US
CSRA,CSRA Inc,2015-11-30,2018-04-04,0,1,
CSX,CSX Corporation,1957-03-04,,1,0,CSX.US
CTAS,Cintas Corporation,2001-03-01,,1,0,CTAS.US
CTLT,Catalent Inc,2020-09-21,2024-12-23,0,1,
CTRA,Coterra Energy Inc,2008-06-23,,1,0,CTRA.US
CTSH,Cognizant Technology Solutions Corp Class A,2006-11-17,,1,0,CTSH.US
CTVA,Corteva Inc,2019-06-03,,1,0,CTVA.US
CTXS,Citrix Systems Inc,,2022-10-03,0,1,
CVET,Covetrus Inc,2019-02-08,2019-02-11,0,1,CVET.US
CVS,CVS Health Corp,1957-03-04,,1,0,CVS.US
CVX,Chevron Corp,1957-03-04,,1,0,CVX.US
CXO,Concho Resources Inc,2016-02-22,2021-01-21,0,1,
CZR,Caesars Entertainment Corporation,2021-03-22,,1,0,CZR.US
D,Dominion Energy Inc,2016-11-30,,1,0,D.US
DAL,Delta Air Lines Inc,2013-09-11,,1,0,DAL.US
DASH,"DoorDash, Inc. Class A Common Stock",2025-03-24,,1,0,DASH.US
DAY,Dayforce Inc.,2021-09-20,,1,0,DAY.US
DD,Dupont De Nemours Inc,2019-04-02,,1,0,DD.US
DE,Deere & Company,1957-03-04,,1,0,DE.US
DECK,Deckers Outdoor Corporation,2024-03-18,,1,0,DECK.US
DFS,Discover Financial Services,2007-07-02,,1,0,DFS.US
DG,Dollar General Corporation,2012-12-03,,1,0,DG.US
DGX,Quest Diagnostics Incorporated,2002-12-12,,1,0,DGX.US
DHI,DR Horton Inc,2005-06-22,,1,0,DHI.US
DHR,Danaher Corporation,1998-11-18,,1,0,DHR.US
DINO,HF Sinclair Corp,2018-06-18,2021-06-04,0,0,DINO.US
DIS,Walt Disney Company,1976-06-30,,1,0,DIS.US
DISCA,Discovery Inc,,2022-04-11,0,1,
DISH,DISH Network Corporation,2017-03-13,2023-06-20,0,1,DISH.US
DLPH,Delphi Technologies PLC,2017-12-05,2017-12-06,0,1,DLPH.US
DLR,Digital Realty Trust Inc,2016-05-18,,1,0,DLR.US
DLTR,Dollar Tree Inc,2011-12-16,,1,0,DLTR.US
DNB,Dun & Bradstreet Holdings Inc.,,2017-04-05,0,0,DNB_old.US
DOC,Healthpeak Properties Inc,2008-03-31,,1,0,DOC.US
DOV,Dover Corporation,1985-10-31,,1,0,DOV.US
DOW,Dow Inc,2019-04-02,,1,0,DOW.US
DPZ,Domino's Pizza Inc Common Stock,2020-05-12,,1,0,DPZ.US
DRE,Duke Realty Corporation,2017-07-26,2022-10-03,0,1,DRE.US
DRI,Darden Restaurants Inc,1995-05-31,,1,0,DRI.US
DTE,DTE Energy Company,1957-03-04,,1,0,DTE.US
DTM,DT Midstream Inc,2021-07-01,2021-07-02,0,0,DTM.US
DUK,Duke Energy Corporation,1976-06-30,,1,0,DUK.US
DVA,DaVita HealthCare Partners Inc,2008-07-31,,1,0,DVA.US
DVN,Devon Energy Corporation,2000-08-30,,1,0,DVN.US
DXC,DXC Technology Co,2017-04-04,2023-10-03,0,0,DXC.US
DXCM,DexCom Inc,2020-05-12,,1,0,DXCM.US
E,Eni SpA ADR,2017-04-03,2017-04-04,0,0,E.US
EA,Electronic Arts Inc,2002-07-22,,1,0,EA.US
EBAY,eBay Inc,2002-07-22,,1,0,EBAY.US
ECL,Ecolab Inc,1989-01-31,,1,0,ECL.US
ED,Consolidated Edison Inc,1957-03-04,,1,0,ED.US
EFX,Equifax Inc,1997-06-19,,1,0,EFX.US
EG,Everest Group Ltd,2017-06-19,,1,0,EG.US
EIX,Edison International,1957-03-04,,1,0,EIX.US
EL,Estee Lauder Companies Inc,2006-01-05,,1,0,EL.US
ELV,Elevance Health Inc,2002-07-25,,1,0,ELV.US
EMBC,Embecta Corp,2022-04-01,2022-04-04,0,0,EMBC.US
EMN,Eastman Chemical Company,1994-01-01,,1,0,EMN.US
EMR,Emerson Electric Company,1965-03-31,,1,0,EMR.US
ENDP,Endo International PLC,2015-01-27,2017-03-02,0,1,ENDP.US
ENPH,Enphase Energy Inc,2021-01-07,,1,0,ENPH.US
EOG,EOG Resources Inc,2000-11-02,,1,0,EOG.US
EPAM,EPAM Systems Inc,2021-12-14,,1,0,EPAM.US
EQIX,Equinix Inc,2015-03-23,,1,0,EQIX.US
EQR,Equity Residential,2001-12-03,,1,0,EQR.US
EQT,EQT Corporation,2022-10-03,,1,0,EQT.US
ERIE,Erie Indemnity Company,2024-09-23,,1,0,ERIE.US
ES,Eversource Energy,2009-07-24,,1,0,ES.US
ESRX,Express Scripts Holding Co,2003-09-25,2018-12-24,0,1,
ESS,Essex Property Trust Inc,2014-04-02,,1,0,ESS.US
ETFC,E*TRADE Financial LLC,,2020-10-07,0,1,
ETN,Eaton Corporation PLC,1957-03-04,,1,0,ETN.US
ETR,Entergy Corporation,1957-03-04,,1,0,ETR.US
ETSY,Etsy Inc,2020-09-21,2024-09-23,0,0,ETSY.US
EVHC,Envision Healthcare Holdings,2016-12-02,2018-10-11,0,1,
EVRG,"Evergy, Inc.",2018-06-05,,1,0,EVRG.US
EW,Edwards Lifesciences Corp,2011-03-31,,1,0,EW.US
EXC,Exelon Corporation,1957-03-04,,1,0,EXC.US
EXPD,"Expeditors International of Washington, Inc.",2007-10-10,,1,0,EXPD.US
EXPE,Expedia Group Inc.,2007-10-02,,1,0,EXPE.US
EXR,Extra Space Storage Inc,2016-01-19,,1,0,EXR.US
F,Ford Motor Company,1957-03-04,,1,0,F.US
FANG,Diamondback Energy Inc,2018-12-03,,1,0,FANG.US
FAST,Fastenal Company,2008-09-12,,1,0,FAST.US
FBIN,Fortune Brands Innovations Inc.,2016-06-24,2022-12-19,0,0,FBIN.US
FCX,Freeport-McMoran Copper & Gold Inc,2011-07-01,,1,0,FCX.US
FDS,FactSet Research Systems Inc,2021-12-20,,1,0,FDS.US
FDX,FedEx Corporation,1980-12-31,,1,0,FDX.US
FE,FirstEnergy Corporation,1997-11-28,,1,0,FE.US
FFIV,F5 Networks Inc,2010-12-17,,1,0,FFIV.US
FI,"Fiserv, Inc.",2001-04-02,,1,0,FI.US
FICO,Fair Isaac Corporation,2023-03-20,,1,0,FICO.US
FIS,Fidelity National Information Services Inc,2006-11-10,,1,0,FIS.US
FITB,Fifth Third Bancorp,1996-03-29,,1,0,FITB.US
FL,Foot Locker Inc,2016-04-04,2019-08-09,0,0,FL.US
FLIR,FLIR Systems Inc.,,2021-05-14,0,1,FLIR.US
FLR,Fluor Corporation,,2019-06-04,0,0,FLR.US
FLS,Flowserve Corporation,,2021-03-22,0,0,FLS.US
FMC,FMC Corporation,2009-08-19,2025-03-24,0,0,FMC.US
FOX,Fox Corp Class B,2019-03-19,,1,0,FOX.US
FOXA,Fox Corp Class A,2019-03-19,,1,0,FOXA.US
FRC,FIRST REP BK SAN FRANCISCO CALIF N,2019-01-02,2023-05-04,0,1,FRC.US
FRT,Federal Realty Investment Trust,2016-02-01,,1,0,FRT.US
FSLR,First Solar Inc,2022-12-19,,1,0,FSLR.US
FTI,TechnipFMC PLC,2009-06-05,2021-02-12,0,0,FTI.US
FTNT,Fortinet Inc,2018-10-11,,1,0,FTNT.US
FTR,Frontier Communications Corporation,,2017-03-20,0,1,FTR.US
FTRE,Fortrea Holdings Inc.,2023-07-03,2023-07-06,0,0,FTRE.US
FTV,Fortive Corp,2016-07-05,,1,0,FTV.US
GD,General Dynamics Corporation,1957-03-04,,1,0,GD.US
GDDY,Godaddy Inc,2024-06-24,,1,0,GDDY.US
GE,GE Aerospace,1957-03-04,,1,0,GE.US
GEHC,GE HealthCare Technologies Inc.,2023-01-04,,1,0,GEHC.US
GEN,Gen Digital Inc.,2003-03-25,,1,0,GEN.US
GEV,GE Vernova LLC,2024-04-02,,1,0,GEV.US
GG,Goldcorp Inc,2017-02-01,2017-02-02,0,1,GG.US
GGP,General Growth Properties Inc,2013-12-10,2018-08-28,0,1,
GILD,Gilead Sciences Inc,2004-07-01,,1,0,GILD.US
GIS,General Mills Inc,1957-03-04,,1,0,GIS.US
GL,Globe Life Inc,1989-04-30,,1,0,GL.US
GLW,Corning Incorporated,1995-02-27,,1,0,GLW.US
GM,General Motors Company,2013-06-07,,1,0,GM.US
GNRC,Generac Holdings Inc,2021-03-22,,1,0,GNRC.US
GOOG,Alphabet Inc Class C,2014-04-03,,1,0,GOOG.US
GOOGL,Alphabet Inc Class A,2014-04-03,,1,0,GOOGL.US
GPC,Genuine Parts Co,1973-12-31,,1,0,GPC.US
GPN,Global Payments Inc,2016-04-25,,1,0,GPN.US
GPS,Gap Inc,,2022-02-03,0,1,GPS.US
GRMN,Garmin Ltd,2012-12-12,,1,0,GRMN.US
GS,Goldman Sachs Group Inc,2002-07-22,,1,0,GS.US
GT,Goodyear Tire & Rubber Co,,2019-02-27,0,0,GT.US
GTX,Garrett Motion Inc,2018-10-01,2018-10-02,0,0,GTX.US
GWW,WW Grainger Inc,1981-06-30,,1,0,GWW.US
HAL,Halliburton Company,1957-03-04,,1,0,HAL.US
HAR,Harman International Industries Inc./DE/,,2017-03-16,0,1,
HAS,Hasbro Inc,1984-09-30,,1,0,HAS.US
HBAN,Huntington Bancshares Incorporated,1997-08-28,,1,0,HBAN.US
HBI,Hanesbrands Inc,2015-03-23,2021-12-20,0,0,HBI.US
HCA,HCA Holdings Inc,2015-01-27,,1,0,HCA.US
HD,Home Depot Inc,1988-03-31,,1,0,HD.US
HES,Hess Corporation,1984-05-31,,1,0,HES.US
HIG,Hartford Financial Services Group,1957-03-04,,1,0,HIG.US
HII,Huntington Ingalls Industries Inc,2018-01-03,,1,0,HII.US
HLT,Hilton Worldwide Holdings Inc,2017-06-19,,1,0,HLT.US
HOG,Harley-Davidson Inc,,2020-06-22,0,0,HOG.US
HOLX,Hologic Inc,2016-03-30,,1,0,HOLX.US
HON,Honeywell International Inc,1957-03-04,,1,0,HON.US
HP,Helmerich and Payne Inc,2010-02-26,2020-05-22,0,0,HP.US
HPE,Hewlett Packard Enterprise Co,2015-11-02,,1,0,HPE.US
HPQ,HP Inc,1974-12-31,,1,0,HPQ.US
HRB,H&R Block Inc,,2020-09-21,0,0,HRB.US
HRL,Hormel Foods Corporation,2009-03-03,,1,0,HRL.US
HSIC,Henry Schein Inc,2015-03-18,,1,0,HSIC.US
HST,Host Hotels & Resorts Inc,2007-03-20,,1,0,HST.US
HSY,Hershey Co,1957-03-04,,1,0,HSY.US
HUBB,Hubbell Inc,2023-10-18,,1,0,HUBB.US
HUM,Humana Inc,2012-12-10,,1,0,HUM.US
HWM,Howmet Aerospace Inc,2016-10-21,,1,0,HWM.US
IBM,International Business Machines,1957-03-04,,1,0,IBM.US
ICE,Intercontinental Exchange Inc,2007-09-26,,1,0,ICE.US
IDXX,IDEXX Laboratories Inc,2017-01-05,,1,0,IDXX.US
IEX,IDEX Corporation,2019-08-09,,1,0,IEX.US
IFF,International Flavors & Fragrances Inc,1976-03-31,,1,0,IFF.US
ILMN,Illumina Inc,2015-11-19,2024-06-24,0,0,ILMN.US
INCY,Incyte Corporation,2017-02-28,,1,0,INCY.US
INFO_old1,Ihs Markit Ltd,2017-06-02,2022-03-02,0,1,
INTC,Intel Corporation,1976-12-31,,1,0,INTC.US
INTU,Intuit Inc,2000-12-05,,1,0,INTU.US
INVH,Invitation Homes Inc,2022-09-19,,1,0,INVH.US
IP,International Paper,1957-03-04,,1,0,IP.US
IPG,Interpublic Group of Companies Inc,1992-10-01,,1,0,IPG.US
IPGP,IPG Photonics Corporation,2018-03-07,2022-06-21,0,0,IPGP.US
IQV,IQVIA Holdings Inc,2017-08-29,,1,0,IQV.US
IR,Ingersoll Rand Inc,2020-03-02,,1,0,IR.US
IRM,Iron Mountain Incorporated,2009-01-06,,1,0,IRM.US
ISRG,Intuitive Surgical Inc,2008-06-02,,1,0,ISRG.US
IT,Gartner Inc,2017-04-05,,1,0,IT.US
ITW,Illinois Tool Works Inc,1986-02-28,,1,0,ITW.US
IVZ,Invesco Plc,2008-08-21,,1,0,IVZ.US
J,Jacobs Solutions Inc.,2007-10-26,,1,0,J.US
JBGS,JBG SMITH Properties,2017-07-18,2017-07-19,0,0,JBGS.US
JBHT,JB Hunt Transport Services Inc,2015-07-01,,1,0,JBHT.US
JBL,Jabil Circuit Inc,2023-12-18,,1,0,JBL.US
JCI,Johnson Controls International PLC,2010-08-27,,1,0,JCI.US
JEF,Jefferies Financial Group Inc,,2019-09-26,0,0,JEF.US
JKHY,Jack Henry & Associates Inc,2018-11-13,,1,0,JKHY.US
JNJ,Johnson & Johnson,1973-06-30,,1,0,JNJ.US
JNPR,Juniper Networks Inc,2006-06-02,,1,0,JNPR.US
JPM,JPMorgan Chase & Co,1975-06-30,,1,0,JPM.US
JWN,Nordstrom Inc,,2020-06-22,0,0,JWN.US
K,Kellanova,1989-09-11,,1,0,K.US
KD,Kyndryl Holdings Inc,2021-11-04,2021-11-05,0,0,KD.US
KDP,Keurig Dr Pepper Inc,2022-06-21,,1,0,KDP.US
KEY,KeyCorp,1994-03-01,,1,0,KEY.US
KEYS,Keysight Technologies Inc,2018-11-06,,1,0,KEYS.US
KHC,Kraft Heinz Co,2012-10-02,,1,0,KHC.US
KIM,Kimco Realty Corporation,2006-04-04,,1,0,KIM.US
KKR,KKR & Co LP,2024-06-24,,1,0,KKR.US
KLAC,KLA-Tencor Corporation,1997-09-30,,1,0,KLAC.US
KLG,WK Kellogg Co,2023-10-02,2023-10-03,0,0,KLG.US
KMB,Kimberly-Clark Corporation,1957-03-04,,1,0,KMB.US
KMI,Kinder Morgan Inc,2012-05-25,,1,0,KMI.US
KMX,CarMax Inc,2010-06-28,,1,0,KMX.US
KO,The Coca-Cola Company,1957-03-04,,1,0,KO.US
KR,Kroger Company,1957-03-04,,1,0,KR.US
KSS,Kohl's Corporation,,2020-09-21,0,0,KSS.US
KSU,Kansas City Southern,2013-05-24,2021-12-14,0,1,KSU.US
KTB,Kontoor Brands Inc,2019-05-23,2019-05-24,0,0,KTB.US
KVUE,Kenvue Inc.,2023-08-25,,1,0,KVUE.US
L,Loews Corp,1995-05-31,,1,0,L.US
LDOS,Leidos Holdings Inc,2019-08-09,,1,0,LDOS.US
LEG,Leggett & Platt Incorporated,,2021-12-20,0,0,LEG.US
LEN,Lennar Corporation,2005-10-04,,1,0,LEN.US
LEN-N,Lennar Corp.-Class B Temporary Placeholder Security (TPS),2017-11-09,2017-11-28,0,1,
LH,Laboratory Corporation of America Holdings,2004-11-01,,1,0,LH.US
LHX,L3Harris Technologies Inc,2008-09-22,,1,0,LHX.US
LII,Lennox International Inc,2024-12-23,,1,0,LII.US
LIN,Linde plc Ordinary Shares,1992-07-01,,1,0,LIN.US
LKQ,LKQ Corporation,2016-05-23,,1,0,LKQ.US
LLL,JX Luxventure Ltd,,2019-07-01,0,1,
LLTC,Linear Technology Corp,,2017-03-13,0,1,
LLY,Eli Lilly and Company,1970-12-31,,1,0,LLY.US
LMT,Lockheed Martin Corporation,1957-03-04,,1,0,LMT.US
LNC,Lincoln National Corporation,,2023-09-18,0,0,LNC.US
LNT,Alliant Energy Corp,2016-07-01,,1,0,LNT.US
LOW,Lowe's Companies Inc,1984-02-29,,1,0,LOW.US
LRCX,Lam Research Corp,2012-06-05,,1,0,LRCX.US
LTHM,Livent Corp,2019-03-04,2019-03-05,0,1,LTHM.US
LULU,Lululemon Athletica Inc.,2023-10-18,,1,0,LULU.US
LUMN,Lumen Technologies Inc,,2023-03-20,0,0,LUMN.US
LUV,Southwest Airlines Company,1994-07-01,,1,0,LUV.US
LVLT,Level 3 Communications Inc,2014-11-05,2017-10-13,0,1,LVLT.US
LVS,Las Vegas Sands Corp,2019-10-03,,1,0,LVS.US
LW,Lamb Weston Holdings Inc,2018-12-03,,1,0,LW.US
LYB,LyondellBasell Industries NV,2012-09-05,,1,0,LYB.US
LYV,Live Nation Entertainment Inc,2019-12-23,,1,0,LYV.US
M,Macy’s Inc,,2020-04-06,0,0,M.US
MA,Mastercard Inc,2008-07-18,,1,0,MA.US
MAA,Mid-America Apartment Communities Inc,2016-12-02,,1,0,MAA.US
MAC,Macerich Company,2013-05-09,2019-12-23,0,0,MAC.US
MAR,Marriott International Inc,1998-05-29,,1,0,MAR.US
MAS,Masco Corporation,1981-06-30,,1,0,MAS.US
MAT,Mattel Inc,,2019-06-07,0,0,MAT.US
MBC,MasterBrand Inc.,2022-12-15,2022-12-19,0,0,MBC.US
MCD,McDonald’s Corporation,1970-06-30,,1,0,MCD.US
MCHP,Microchip Technology Inc,2007-09-07,,1,0,MCHP.US
MCK,McKesson Corporation,1999-01-13,,1,0,MCK.US
MCO,Moodys Corporation,1998-07-01,,1,0,MCO.US
MDLZ,Mondelez International Inc,2012-10-02,,1,0,MDLZ.US
MDT,Medtronic PLC,1986-10-31,,1,0,MDT.US
MET,MetLife Inc,2000-12-11,,1,0,MET.US
META,Meta Platforms Inc.,2013-12-23,,1,0,META.US
MGM,MGM Resorts International,2017-07-26,,1,0,MGM.US
MHK,Mohawk Industries Inc,2013-12-23,,1,0,MHK.US
MJN,Mead Johnson Nutrition CO,2009-12-18,2017-06-19,0,1,
MKC,McCormick & Company Incorporated,2003-03-20,,1,0,MKC.US
MKTX,MarketAxess Holdings Inc,2019-07-01,,1,0,MKTX.US
MLM,Martin Marietta Materials Inc,2014-07-02,,1,0,MLM.US
MMC,Marsh & McLennan Companies Inc,1987-08-31,,1,0,MMC.US
MMM,3M Company,1957-03-04,,1,0,MMM.US
